"category","year","prize_amount","prize_amount_adjusted"
4,2004,10000000,13324969
5,2004,10000000,13324969
1,2005,10000000,13266708
6,2005,10000000,13266708
2,2005,10000000,13266708
3,2005,10000000,13266708
4,2005,10000000,13266708
5,2005,10000000,13266708
1,2006,10000000,13086876
6,2006,10000000,13086876
2,2006,10000000,13086876
3,2006,10000000,13086876
4,2006,10000000,13086876
5,2006,10000000,13086876
1,2007,10000000,12802893
6,2007,10000000,12802893
2,2007,10000000,12802893
3,2007,10000000,12802893
4,2007,10000000,12802893
5,2007,10000000,12802893
1,2008,10000000,12377622
6,2008,10000000,12377622
2,2008,10000000,12377622
3,2008,10000000,12377622
4,2008,10000000,12377622
5,2008,10000000,12377622
1,2009,10000000,12413793
6,2009,10000000,12413793
2,2009,10000000,12413793
3,2009,10000000,12413793
4,2009,10000000,12413793
5,2009,10000000,12413793
1,2010,10000000,12256203
6,2010,10000000,12256203
2,2010,10000000,12256203
3,2010,10000000,12256203
4,2010,10000000,12256203
5,2010,10000000,12256203
1,2011,10000000,11946007
6,2011,10000000,11946007
2,2011,10000000,11946007
3,2011,10000000,11946007
4,2011,10000000,11946007
5,2011,10000000,11946007
1,2012,8000000,9471572
6,2012,8000000,9471572
2,2012,8000000,9471572
3,2012,8000000,9471572
4,2012,8000000,9471572
5,2012,8000000,9471572
1,2013,8000000,9476854
6,2013,8000000,9476854
2,2013,8000000,9476854
3,2013,8000000,9476854
4,2013,8000000,9476854
5,2013,8000000,9476854
1,2014,8000000,9492737
6,2014,8000000,9492737
2,2014,8000000,9492737
3,2014,8000000,9492737
4,2014,8000000,9492737
5,2014,8000000,9492737
1,2015,8000000,9498044
6,2015,8000000,9498044
2,2015,8000000,9498044
3,2015,8000000,9498044
4,2015,8000000,9498044
5,2015,8000000,9498044
1,2016,8000000,9403431
6,2016,8000000,9403431
2,2016,8000000,9403431
3,2016,8000000,9403431
4,2016,8000000,9403431
5,2016,8000000,9403431
1,2017,9000000,10394780
6,2017,9000000,10394780
2,2017,9000000,10394780
3,2017,9000000,10394780
4,2017,9000000,10394780
5,2017,9000000,10394780
1,2018,9000000,10195200
6,2018,9000000,10195200
2,2018,9000000,10013620
3,2018,9000000,10195200
4,2018,9000000,10195200
5,2018,9000000,10195200
1,2019,9000000,10013620
